bib obligaotorio		bib uso 0 	
26133	,	1009	bib 
26549	,	1288	
2135	,	1842	
18517	,	1933	
1933	,	2957	
1842	,	3159	
21629	,	3318	
15620	,	3552	
14513	,	3895	
5562	,	4481	
14792	,	4717	
10598	,	10887	
26162	,	10997	
25976	,	11168	
22504	,	11177	
23821	,	11252	
21636	,	11571	
4717	,	11663	
11571	,	11746	
11252	,	11882	
26572	,	12811	
26133	,	14184	
11168	,	14228	
11207	,	14244	
4481	,	14792	
14607	,	15620	
13136	,	15779	
13032	,	16485	
15001	,	17120	
15504	,	18517	
16240	,	21038	
21800	,	21636	
22513	,	21800	
11795	,	22504	
10887	,	22649	
22493	,	23821	
12262	,	24849	
21829	,	26148	
16080	,		
21038	,		
11882	,		
11746	,		
10997	,		
10993	,		
27163	,		
4267	,		
8173	,		
13414	,		
26130	,		
26129	,		
13072	,		
2868	,		
22635	,		
9967	,		
22758	,		
11153	,		
1288	,		
13990	,		
11177	,		
11663	,		
3318	,		
2835	,		
22613	,		
25987	,		
10697	,		
1009	,		
11145	,		
24549	,		
21351	,		
23970	,		
16485	,		
25850	,		
22649	,		
22412	,		
21985	,		
25923	,		
26148	,		
21511	,		
12093	,		
4382	,		
15779	,		
3552	,		
3453	,		
3159	,		
14184	,		
2957	,		
3895	,		
14923	,		
26526	,		
2939	,		
13026	,		
22339	,		
14244	,		
25701	,		
27189	,		
25698	,		
3649	,		
4442	,		
11706	,		
17120	,		
14276	,		
14228	,		
16380	,		
25768	,		
26827	,		
22021	,		
25770	,		
12811	,		
11653	,		
24849	)		
