CARRERA: Carrera de Licenciatura en Educación y Pedagogía en Educación Física							
							
							
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE ESTUDIANTES POR ASIGNATURA	CANTIDAD BIBLIOTECA	BIB BIBILOTECA	
Didáctica del Voleibol	301	Araya, C (2008). Acciones motrices en el atacante de voleibol. En: Revista Electrónica Efdeportes.com. N° 136	Complementaria	25	R/D		
Didáctica del Voleibol II	302	Araya, C (2008). Acciones motrices en el atacante de voleibol. En: Revista Electrónica Efdeportes.com. N° 136	Complementaria		R/D		
Orientación y convivencia escolar	301	Mineduc. (2006).Conceptos claves para la Resolusión Pacífica de Conflictos. Chile. Recuperado de http://www.mineduc.cl/usuarios/convivencia_escolar/doc/201103240919330.resolucion_pacifica_de_conflictos.p	Obligatoria	25	R/D		
Orientación y convivencia escolar	301	Palma, A. y Álvarez, V. (2011). Aceracando las Familias a la Escuela. Chile.Unicef. Recuperado de www.unicef.cl	Obligatoria	25	R/D		
Orientación y convivencia escolar	301	Mineduc. (2013). Orientaciones ante situaciones de maltrato y abuso sexual infantil. Chile. Mineduc. Recuperado de: http://www.mineduc.cl/usuarios/convivencia_escolar/doc/201303191137540.protocolo_situacion_maltrato_abuso.pdf	Obligatoria	25	R/D		
Orientación y convivencia escolar	301	Mineduc. (2011). Orientaciones para la elaboración del manual de convivencia escolar. Chile. Mineduc. Recuperado de: http://www.mineduc.cl/usuarios/convivencia_escolar/doc/201203262329520.Orientacionesreglamconvescolar.PDF	Obligatoria	25	R/D		
Orientación y convivencia escolar	301	Mineduc. (2014). Estrategia de apoyo al clima y la convivencia escolar: Plan de Gestión y Protocolo de actuación. Chile. Mineduc. Recuperado de: http://www.convivenciaescolar.cl/usuarios/convivencia_escolar/File/2014/CLIMA_MANUAL_ESTRATEGICO_WEB_2014%281%29.pdf	Obligatoria	25	R/D		
Didáctica de la Natación 2	402	www.efdeportes.com/efd8/smaran8.html - www.swim.ee/models/methods.html	Complementaria	25	R/D		
Didáctica de la Natación 2	402	www.education.ed.ac.uk/swim/assessment.html- www.fina.org/	Complementaria	25	R/D		
Didáctica de la Natación 2	402	http://dspace.utalca.cl/bitstream/1950/9674/1/manual%20de%20primeros%20auxilios%20%28enfermeria%29.pdf	Complementaria	25	R/D		
Orientación y convivencia escolar	301	Biblioteca del Congreso Nacional de Chile. (2011).Ley 20.536, sobre violencia escolar. Chile. Recuperado de http://www.mineduc.cl/usuarios/convivencia_escolar/doc/201109221119290.ley_violencia_escolar.pdf	Obligatoria	25	0		0
Orientación y convivencia escolar	301	Mineduc. (2008). Marco para la Buena Enseñanza. Chile. Mineduc.	Obligatoria	25	0		0
