22313	,	3912
22023	,	4365
28105	,	8808
16653	,	9814
23891	,	10958
28893	,	11162
10590	,	12325
10958	,	12398
11162	,	14054
28875	,	14485
28876	,	14639
22305	,	15672
28892	,	16071
12325	,	16653
23945	,	18517
23841	,	18683
14330	,	18686
14503	,	18706
25924	,	22305
4365	,	22313
14156	,	22315
16071	,	23836
22030	,	24575
22026	,	
3912	,	
22315	,	
8808	,	
28459	,	
18700	,	
23836	,	
23957	,	
18706	,	
23951	,	
18683	,	
28873	,	
28879	,	
9814	,	
25158	,	
28903	,	
14485	,	
28874	,	
28850	,	
28888	,	
28890	,	
25005	,	
13151	,	
18686	,	
14639	,	
24575	,	
18695	,	
12512	,	
11819	,	
24938	,	
24931	,	
18517	,	
15615	,	
5513	,	
16070	,	
12398	,	
14054	,	
15266	,	
15265	,	
15672	)	
