						
						
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE ESTUDIANTES POR ASIGNATURA	CANTIDAD DE COPIAS	NRO. DE BIB
Taller de Liderazgo y Ética	NOVENO	Benavides. M & Delgado L. (2004)  Análisis  del liderazgo situacional y las  disposición hacia las tareas en base a la habilidad y prestancia. Disponible en http://www.semac.org.mx/archivos/6-35.pdf	OBLIGATORIA		0	
Excavaciones Mineras 	DECIMO	Guía de control geotecncio en minería subterránea (2015) http://www.minetad.gob.es/.../mineria/.../Guias/Guia-control-geotecnico-mineria-subterranea	COMPLEMENTARIA		0	
Introducción a Depósitos Minerales 	TERCERO	Sillitoe, R. (2010). Porphyry copper Systems. Economic Geology. Vol. 105, p. 3-41.	COMPLEMENTARIA		0	
Introducción a Depósitos Minerales 	TERCERO	Richards, J.P. (2003). Tectono-magmatic precursors for porphyry Cu-(Mo-Au) deposit formation. Economic  Geology, Vol. 98, p. 1515-1533.	COMPLEMENTARIA		0	
Introducción a Depósitos Minerales 	TERCERO	Tosdal, R.M. y Richards, J.P. (2001). Magmatic and structural controls on the development of porphyry Cu ± Mo ± Au deposits. Reviews in Economic Geology, Vol. 14, p. 157-181.	COMPLEMENTARIA		0	
Métodos Numéricos 	SEXTO	Sergio Plaza, Métodos Numéricos, Apuntes de Clases, Departamento de Matemática,  Facultad de Ciencias. Universidad de Santiago de Chile. 	NO INDICA		0	
Geología y Exploración de Depósitos Minerales 	NOVENO	Griem-Klee, S. (online). Exploraciones Mineras - Apuntes. página web, dirección: http://www.geovirtual.cl/ . En esta página se dirige hacia el pictograma EM = Explotaciones Mineras.	OBLIGATORIA		0	
Geología y Exploración de Depósitos Minerales 	NOVENO	Richards, J.R., 2003. Tectono-Magmatic Precursors for Porphyry Cu-(Mo-Au) Deposit Formation. Economic Geology, v. 98, p. 1515-1533.	OBLIGATORIA		0	
Geología y Exploración de Depósitos Minerales 	NOVENO	Rose, A.W., Hawkes, H.E. & Webb, J.S., 1979. Geochemistry in Mineral Exploration. 2ª edición, 656p., Academic Press (New York).	OBLIGATORIA		5c	10406
Geología y Exploración de Depósitos Minerales 	NOVENO	Sheriff, R.E. &Geldart, L.P., 1991. Exploración sismológica. Vol.I y II: Historia, teoría y obtención de datos; Noriega Limusa (Mexico).	OBLIGATORIA		2c	12883
Geología y Exploración de Depósitos Minerales 	NOVENO	Sabins, F.F., 1997. Remote Sensing. Principles and Interpretation. 3th Edition : 494 p., Freeman (New York).	OBLIGATORIA		1c	9081
Geología y Exploración de Depósitos Minerales 	NOVENO	Ruiz-Fuller, C. &Peebles L., F., 1988. Geología, Distribución y Génesis de los Yacimientos Metalíferos Chilenos. Editorial Universitaria (Santiago de Chile).	OBLIGATORIA		7c	5349
Geología y Exploración de Depósitos Minerales 	NOVENO	Baker, R.C. & Guilbert, J.M., 1987. Regional structure Control of porphyry Copper deposits in northern Chile.-   Geological Society of America, Abstracts with Programs p. 578	COMPLEMENTARIA		0	
Geología y Exploración de Depósitos Minerales 	NOVENO	Barnes, H.L. (ed.), 1979. Geochemistry of Hydrothermal Ore Deposits: p. 173-235, 17 Fig.; Wiley & Sons, New York, Chichester, Brisbane, Toronto.	COMPLEMENTARIA		1c	22396
Geología y Exploración de Depósitos Minerales 	NOVENO	Bischoff, L. &Hofherrturn, G. (no publicado). Fotogeología - Evaluación geológica de fotografías aéreas.	COMPLEMENTARIA		0	
Geología y Exploración de Depósitos Minerales 	NOVENO	Cuadra C. P., & Gonzalo Rojas S., 2001. Oxide Mineralization at the Radomiro Tomic Porphyry Copper Deposit, Northern Chile  . – Economic Geology; Volume 96; 2001 Number 2; pp-387-400	COMPLEMENTARIA		0	
Geología y Exploración de Depósitos Minerales 	NOVENO	Zoning in Porphyry Ore Deposits.- Econ. Geol., Vol. 65; p. 373-408.	COMPLEMENTARIA		0	
Geología y Exploración de Depósitos Minerales 	NOVENO	Vivallo, W., Espinoza, S., Henríquez, F., 1994. Geología y mineralización del distrito ferrífero Cerro Imán. Revista Geológica de Chile, Vol. 21: No. 2, SERNAGEOMIN (SCL).	COMPLEMENTARIA		0	
Geología y Exploración de Depósitos Minerales 	NOVENO	Vivallo, W., Espinoza, S., Henríquez, F., 1995. Metasomatismo y alteración hidrotermal en el Distrito Ferrífero Cerro Negro Norte, Copiapó, Chile. - Revista Geológica de Chile, Vol. 22: No. 1, SERNAGEOMIN (SCL),	COMPLEMENTARIA		0	
Economía de Minerales 	ONCEAVO 	Adams, Robin, 1998, “Strategic Challenges Facing the Australian Mineral and Energy Industries”, Outlook 98: Minerals and Energy, Vol. 3, pp 11-15.	COMPLEMENTARIA		0	
