	uso 0
4686	1126
1706	1171
28408	1234
5077	1501
7331	1717
14244	1842
12841	1933
15771	2957
26601	3507
26580	3717
28283	3895
24670	3916
25365	4001
25739	5077
21944	5241
2135	5782
1933	6318
1842	7688
14808	8210
16490	8835
15924	8954
12625	9814
13237	10195
10424	10336
8210	10424
8835	10887
8560	10888
21629	10924
3507	11594
11046	11658
2033	11848
11594	11849
12497	11882
10336	12359
2356	12625
10888	12685
17120	13235
14228	13237
15866	14228
1171	14238
8954	14244
21432	14778
15620	14792
14513	15007
14792	15620
25370	15866
23035	16490
26583	17120
21511	18517
1465	21343
12093	21461
4382	21489
4850	22503
21343	24019
4267	24849
8173	25287
13414	26580
28288	,
6398	,
1717	,
9814	,
21095	,
13186	,
12685	,
6318	,
24633	,
15007	,
24516	,
23143	,
22513	,
10887	,
21829	,
11882	,
13072	,
2868	,
22635	,
9967	,
22758	,
11153	,
11449	,
13172	,
27280	,
13990	,
4858	,
22779	,
1879	,
1193	,
21640	,
21641	,
22346	,
19624	,
14778	,
26581	,
8046	,
24849	,
11653	,
8888	,
24610	,
26604	,
22503	,
7770	,
10195	,
3895	,
2939	,
2957	,
14923	,
1253	,
15431	,
11365	,
13146	,
23988	,
11352	,
2346	,
27121	,
27131	,
21403	,
16998	,
21489	,
21989	,
25364	,
28202	,
25737	,
26570	,
11658	,
24019	,
26586	,
10924	,
12030	,
18517	,
22613	,
14652	,
12862	,
23970	,
25726	,
28263	,
28253	,
21945	,
14677	,
25366	,
28208	,
25287	,
26584	,
21461	,
4006	,
5782	,
15678	,
10838	,
3916	,
4001	,
15370	,
7688	,
13984	,
223	,
1714-20485	,
10949	,
26821	,
3854	,
11939	,
11612	,
13658	,
1501	,
14238	,
1234	,
9195	,
13235	,
1126	,
22306	,
28127	,
27474	,
26561	,
11841	,
9949	,
11848	,
11849	,
26803	,
11843	,
26567	,
3717	,
13149	,
3514	,
5241	,
12359	,
28114	,
28230	,
25710	,
26819	,
26802	,
14607	,
3649	,
11706	,
1754	,
25374	,
24566	)
