Fournier, M. C. (2004). Comunicación verbal. México: Thomson.
Reyzábal, M. V., & Casanova, M. A. (2001). La comunicación oral y su didáctica. Madrid: La Muralla.
"Vallés, A. A. (1996). Comprensión lectora 1: Programa de técnicas cognitivas y
metacognitivas para comprender textos escritos : Educación Primaria, 1er y 2o.
ciclos. Madrid: Escuela Española."
"Verderber, R. F. (1999). Comunicación oral efectiva. México: International
Thomson."
"Britton, J. R., & Bello, I. (January 01, 1986). Álgebra y trigonometría
contemporáneas."
"Swokowski, E. W., & Trigueros, M. (1989). Álgebra y trigonometría con geometría
analítica. México: Grupo Edit. Iberoamérica."
Jelen, B. (2010). Excel Macros y VBA. Madrid: Anaya Multimedia.
Menchén, P. A. (2009). Tablas dinámicas en Excel 2007. México: Alfaomega.
"Hawley, D., & Hawley, R. (2004). Excel: Los mejores trucos. Madrid: Anaya
Multimedia."
"Virginia Caccuri (2009). 101 secretos de Excel: la mejor guía de trucos y
consejos. Argentina: Grami."
Frye, C., & Scott, P. P. (2007). Microsoft Office Excel 2003 paso a paso. Madrid.
"Online Training Solutions, Inc. (2004). Microsoft Office Word 2003 paso a paso.
Madrid: McGraw-Hill, Interamericana de España."
"Apilluelo, A., MANUEL, J., Ibañez Carabantes, P., & UBIETO ARTUR, P. E. D. R. O.
(2005). Dibujo industrial. Conjuntos y despieces: conjuntos y despieces. Ediciones
Paraninfo, SA."
"Cobos Gutierrez, C., & CIDONCHA, R. (1999). Ejercicios de dibujo técnico: resueltos y
comentados. Alfaomega Grupo Editor,."
"Martínez, M. L., Cabanellas, J. M., Carretero, A., & Félez, J. (1996). Fundamentos
ingeniería gráfica. Síntesis."
"Luque Romera, Francisco Javier. (2011), Control y verificación de productos
fabricados: operaciones auxiliares de fabricación mecánica (UF0443). IC Editorial"
"Gallardo Rodríguez, Francisco. (2012), Técnicas de mecanizado y metrología
(UF1213). IC Editorial"
"Ramírez Tapia, Moisés. (2010), Metrología y normalización. Instituto Politécnico
Nacional"
"Lleó, Atanasio. (2011), Gran manual de magnitudes físicas y sus unidades : un
estudio sistemático de 565 magnitudes físicas : cómo utilizar el sistema
internacional de unidades si en la ciencia y la ingeniería, hoy obligatorio en todo
el mundo. Ediciones Díaz de Santos"
"Chávez Aparacio, Francisco. (2009), Introducción a la metrología dimensional.
Instituto Técnico Nacional"
Figliola, R. S.. (2008), Mediciones mecánicas: teoría y diseño. Alfaomega
González González, Carlos. (1998), Metrología. McGraw Hill Interamericana
Compain, Louis. (1987), Metrología de taller. Urmo
Galicia Sánchez, H. Roberto. (2001), Metrología geométrica dimensional. AGT
UDA English Center. (2018). Material propio elaborado por académicos.
"Cirovic, M. M. (1979). Electrónica fundamental: dispositivos, circuitos y sistemas.
Reverté."
"Boylestad, R. L., & Nashelsky, L. (2003). Electrónica: teoría de circuitos y
dispositivos electrónicos. PEARSON educación."
Ogata, K. (2003). Ingeniería de control moderna. Pearson Educación.
"Maco Diaz, C. E., & Palomino Villanueva, M. L. (2019). Análisis de experiencias
exitosas en la gestión de mantenimiento de empresas industriales: una revisión
de la literatura científica"
 Prandon, R. (1996). Manual de gestión de Mantenimiento a la medida.
Solé, A. C. (2012). Neumática e hidráulica. Marcombo.
Salvador, A. G. (1988). Introducción a la neumática (Vol. 11). Marcombo
"Viloria, J. R. (2012). Tecnología y circuitos de aplicacion de neumatica hidraulica
y electricidad. Editorial Paraninfo."
Valdez Serrano. (2009) Fundición y soldadura. El Cid Editor
"Houldcroft, P. T. (Peter Thomas). ( 2000). Tecnología de los procesos de
soldadura. CEAC"
"Sánchez Fulgueira, Manuel. ( 2012). Operaciones de unión : montaje y puesta en
marcha de bienes de equipo y maquinaria industrial. IC Editorial"
"Arriaga Segundo, Leobardo. (2008). Procesos de soldadura. Instituto Politécnico
Nacional"
"Reina Gómez, Manuel. (2003). Soldadura de los aceros : aplicaciones. Weldwork
S.L."
Molera Solà, Pere. (2009). Soldadura industrial : clases y aplicaciones. Marcombo
Giachino, Joseph William. (1996). Técnica y práctica de la soldadura. Reverté
Appold, Hans. (1984). Tecnología de los metales para profesiones técnicomecánicas. Reverté
"Tugendhat, E., Vicuña, A. M., & López, C. (2001). El libro de Manuel y Camila:
Diálogos sobre ética. Barcelona: Gedisa Editorial."
